Application_ID,Capital_Score,Capability_Score,Credibility_Score,Character_Score,Credit_Score,Site_Visit,Committee_Decision,Risk_Score
APP00572,2,4,5,2,686,Yes,Approve,87
APP00573,2,5,1,3,672,Yes,Decline,53
APP00574,5,1,4,4,723,Yes,Decline,59
APP00575,5,4,5,3,416,No,Approve,62
APP00576,4,3,2,5,466,Yes,Approve,69
APP00577,3,4,3,5,401,No,Approve,64
APP00578,1,1,5,4,406,Yes,Decline,46
APP00579,5,5,1,4,815,Yes,Approve,88
APP00580,3,4,2,2,765,Yes,Decline,42
APP00581,2,4,1,3,775,Yes,Decline,47
APP00582,4,1,3,2,819,Yes,Approve,81
APP00583,3,3,4,2,304,No,Approve,82
APP00584,1,1,1,2,683,No,Approve,66
APP00585,5,3,3,2,740,Yes,Approve,73
APP00586,2,5,4,1,739,Yes,Approve,65
APP00587,4,2,4,3,829,Yes,Approve,80
APP00588,1,2,5,1,701,No,Decline,54
APP00589,3,5,2,3,508,Yes,Approve,80
APP00590,4,1,5,2,328,No,Decline,41
APP00591,1,5,4,1,433,No,Approve,74
APP00592,3,2,2,2,604,Yes,Approve,80
APP00593,4,3,1,3,384,No,Decline,55
APP00594,1,5,1,1,770,No,Approve,80
APP00595,1,2,3,3,484,Yes,Decline,47
APP00596,3,2,4,1,802,No,Approve,71
APP00597,1,4,1,2,729,Yes,Approve,66
APP00598,4,2,2,3,310,No,Decline,60
APP00599,5,5,1,1,651,No,Approve,82
